pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_insol,pl_orbsmax,pl_dens,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-625 b,Kepler-625,Transit,2016,7.75192492,1.99,4.62,852.0,407.833,0.08137,3.22,5789.0,0.96,1.04,760.708,2,1
Kepler-626 b,Kepler-626,Transit,2016,14.48585199,2.29,5.86,784.0,69.795,0.10913,2.68,5813.0,1.05,1.01,635.643,1,1
Kepler-1413 b,Kepler-1413,Transit,2016,13.1829642,1.82,3.97,661.0,42.825,0.1066,3.62,5196.0,0.8,0.84,1167.49,1,1
Kepler-1412 b,Kepler-1412,Transit,2016,3.6146051,0.83,0.498,1397.0,1087.781,0.04608,4.79,5880.0,1.27,1.06,755.678,1,1
Kepler-1544 b,Kepler-1544,Transit,2016,168.811174,1.78,3.82,269.0,0.833,0.54465,3.72,4886.0,0.74,0.81,335.09,1,1
Kepler-1085 b,Kepler-1085,Transit,2016,219.3217528,7.22,41.2,313.0,2.055,0.73361,0.602,6000.0,1.14,1.11,1364.53,2,1
Kepler-1626 b,Kepler-1626,Transit,2016,4.13962966,2.02,4.74,1352.0,1328.654,0.0537,3.16,6826.0,1.85,1.51,1368.83,1,1
Kepler-641 b,Kepler-641,Transit,2016,9.48961571,1.85,4.08,926.0,311.788,0.0895,3.54,5713.0,1.13,1.02,969.918,1,1
Kepler-1465 b,Kepler-1465,Transit,2016,31.8277111,1.77,3.78,668.0,6.246,0.1939,3.75,4726.0,0.71,0.75,359.497,1,1
Kepler-1466 b,Kepler-1466,Transit,2016,31.1750448,1.55,3.02,585.0,21.875,0.17981,4.46,5884.0,1.02,1.01,631.949,1,1
Kepler-1507 b,Kepler-1507,Transit,2016,16.0506213,0.84,0.52,630.0,30.476,0.11946,4.82,5410.0,0.85,0.89,320.478,1,1
Kepler-1508 b,Kepler-1508,Transit,2016,20.7056504,1.33,2.33,967.0,116.145,0.1629,5.44,6158.0,1.22,1.14,1260.28,1,1
Kepler-1506 b,Kepler-1506,Transit,2016,14.0329154,1.32,2.3,783.0,235.807,0.1168,5.5,5676.0,0.93,0.95,2366.02,1,1
Kepler-1524 b,Kepler-1524,Transit,2016,70.9674603,3.54,12.3,438.0,8.443,0.3392,1.52,6179.0,1.25,1.17,381.773,1,1
Kepler-639 b,Kepler-639,Transit,2016,10.21420496,2.38,6.26,957.0,295.826,0.09358,2.55,5896.0,1.29,1.14,850.242,1,1
Kepler-1468 b,Kepler-1468,Transit,2016,8.23984869,1.73,3.64,1093.0,481.352,0.0817,3.86,5893.0,1.05,1.04,1899.24,3,1
Kepler-1509 b,Kepler-1509,Transit,2016,25.4338197,1.85,4.08,667.0,83.081,0.1707,3.54,5780.0,0.99,1.0,2002.96,1,1
Kepler-1510 b,Kepler-1510,Transit,2016,84.703921,3.36,11.2,537.0,14.036,0.4089,1.62,6200.0,1.28,1.19,1696.25,1,1
Kepler-1525 b,Kepler-1525,Transit,2016,2.416601183,0.91,0.693,1343.0,715.106,0.03557,5.05,5748.0,1.04,1.07,382.989,1,1
